Airline,Source,Destination,Additional_Info,Stop_No,D_Month,D_Day,D_Hour,D_Minutes,A_Hour,A_Minutes,A_Month,A_Day,Duration_Min
IndiGo,Banglore,New Delhi,No info,0,3,24,22,20,1,10,3,22,170
Air India,Kolkata,Banglore,No info,2,5,1,5,50,13,15,0,0,445
Jet Airways,Delhi,Cochin,No info,2,6,9,9,25,4,25,6,10,1140
IndiGo,Kolkata,Banglore,No info,1,5,12,18,5,23,30,0,0,325
IndiGo,Banglore,New Delhi,No info,1,3,1,16,50,21,35,0,0,285
SpiceJet,Kolkata,Banglore,No info,0,6,24,9,0,11,25,0,0,145
Jet Airways,Banglore,New Delhi,In-flight meal not included,1,3,12,18,55,10,25,3,13,930
Jet Airways,Banglore,New Delhi,In-flight meal not included,1,3,12,8,55,10,25,3,13,1530
Jet Airways,Kolkata,Banglore,In-flight meal not included,1,5,9,21,10,9,20,5,10,730
Jet Airways,Delhi,Cochin,In-flight meal not included,1,6,12,14,0,12,35,6,13,1355
Jet Airways,Delhi,Cochin,In-flight meal not included,1,5,27,16,0,12,35,5,28,1235
Jet Airways,Kolkata,Banglore,In-flight meal not included,1,5,6,18,55,8,15,5,7,800
Jet Airways,Delhi,Cochin,In-flight meal not included,2,6,15,14,35,12,35,6,16,1320
Jet Airways,Delhi,Cochin,In-flight meal not included,1,5,18,7,5,12,35,0,0,330
SpiceJet,Banglore,New Delhi,No check-in baggage included,0,3,24,5,45,8,35,0,0,170
SpiceJet,Chennai,Kolkata,No check-in baggage included,0,3,21,8,20,10,35,0,0,135
SpiceJet,Banglore,Delhi,No check-in baggage included,0,5,15,5,55,8,35,0,0,160
SpiceJet,Chennai,Kolkata,No check-in baggage included,0,6,27,9,45,12,0,0,0,135
SpiceJet,Mumbai,Hyderabad,No check-in baggage included,0,5,21,5,45,7,15,0,0,90
SpiceJet,Chennai,Kolkata,No check-in baggage included,0,6,12,9,45,12,0,0,0,135
Air India,Banglore,New Delhi,1 Short layover,2,3,1,8,50,23,25,0,0,875
Air India,Banglore,New Delhi,1 Long layover,1,3,1,11,5,19,50,0,0,525
Air India,Banglore,New Delhi,Change airports,2,3,1,5,50,22,10,0,0,980
Air India,Banglore,New Delhi,1 Long layover,1,3,1,0,30,20,30,0,0,1200
Jet Airways,Banglore,New Delhi,1 Long layover,1,3,1,14,5,7,40,3,2,1055
Air India,Banglore,New Delhi,1 Long layover,1,3,1,0,30,23,55,0,0,1405
Jet Airways,Banglore,New Delhi,1 Long layover,1,3,1,16,55,7,40,3,2,885
Jet Airways,Banglore,New Delhi,1 Long layover,1,3,1,16,55,10,25,3,2,1050
Air India,Banglore,New Delhi,Change airports,1,3,1,22,0,23,20,3,2,1520
Jet Airways Business,Banglore,New Delhi,Business class,1,3,1,5,45,11,25,0,0,340
Jet Airways,Banglore,New Delhi,Business class,1,3,1,5,50,12,20,0,0,390
Air India,Banglore,New Delhi,Change airports,1,3,1,11,50,23,55,0,0,725
Jet Airways Business,Banglore,New Delhi,Business class,1,3,1,5,45,12,25,0,0,400
Air Asia,Banglore,New Delhi,Red-eye flight,0,3,1,23,25,2,10,3,2,165
Air India,Banglore,New Delhi,Change airports,2,3,1,11,5,22,10,0,0,665
Air India,Banglore,New Delhi,Change airports,4,3,1,5,50,11,20,3,2,1770
Air India,Banglore,New Delhi,Change airports,2,3,1,5,50,16,20,0,0,630
Air India,Banglore,New Delhi,Change airports,2,3,1,10,30,17,45,0,0,435
Jet Airways Business,Banglore,New Delhi,Business class,1,3,1,9,45,14,25,0,0,280
Air India,Banglore,New Delhi,2 Long layover,2,3,1,6,45,9,25,3,2,1600
